RANK,BRAND,CATEGORIES 1,CATEGORIES 2,FOLLOWERS,ER,iPOSTS ON HASHTAG,MEDIA POSTED
1,Selena Gomez,celebrities,musicians,105.4,0.0262,14.5,1.2
2,Taylor Swift,celebrities,musicians,95.2,0.0196,10.5,958
3,Ariana Grande,celebrities,musicians,92.3,0.0143,16.9,2.8
4,Beyonce,celebrities,musicians,90.6,0.0253,9.2,1.4
5,Kim Kardashian West,celebrities,tv,89.3,0.0139,5.1,3.6
6,Cristiano Ronaldo,celebrities,athletes,85.1,0.0262,3.6,1.6
7,Kylie,celebrities,models,81.8,0.0189,6.2,4.9
8,Justin Bieber,celebrities,musicians,77.9,0.0166,26.2,3.8
9,therock,celebrities,athletes,73.3,0.0124,1.1,2.5
10,Kendall,celebrities,models,70.9,0.0178,3.4,2.7
11,Nicki Minaj,celebrities,musicians,70.8,0.0093,3.7,4.2
12,nike,fashion,sport,68.2,0.0176,50.6,880
13,National Geographic,media,,65.8,0.0114,5.3,12.7
14,Nj,celebrities,athletes,64,0.0152,3.3,3.6
15,Leo Messi,celebrities,athletes,61.9,0.0427,5.1,180
16,Khloe,celebrities,tv,60.2,0.0216,1.4,3.1
17,KATY PERRY,celebrities,musicians,59.6,0.015,3.3,507
18,Miley Cyrus,celebrities,musicians,57.8,0.0141,6,5.8
19,Jennifer Lopez,celebrities,musicians,55.1,0.0123,1.2,1.6
20,Demi Lovato,celebrities,musicians,51.3,0.0265,6,1.5
21,Kourtney Kardashian,celebrities,tv,50.7,0.0124,1,3
22,Victoria's Secret,fashion,,49.1,0.0103,3.5,4.3
23,badgalriri,celebrities,musicians,47.3,0.0153,1.1,3.7
24,Kevin Hart,celebrities,actors,45.9,0.0068,805.,4
25,FC Barcelona,sport,football,43.3,0.0178,2.9,8.9
26,Real Madrid C.F.,sport,football,41.8,0.0202,6.6,1
27,Justin Timberlake,celebrities,musicians,39.6,0.0142,1.2,498
28,Ellen,celebrities,tv,38.2,0.0143,236.,4.3
29,Cara Delevingne,celebrities,models,36.2,0.0155,1.5,3.2
30,Zendaya,celebrities,musicians,36,0.0302,511.,3
31,9gag,entertainment,,35,0.0242,1.5,11.4
32,David Beckham,celebrities,athletes,31.7,0.0323,430.,476
33,champagnepapi,celebrities,musicians,31.1,0.0133,306.,3.4
34,Vin Diesel,celebrities,actors,30.2,0.0176,394k,986
35,Shakira,celebrities,musicians,28.4,0.0206,771k,664
36,James RodrÕguez,celebrities,athletes,27.8,0.0244,537.,634
